US_Chart - Current R&B/Hip-Hop Albums,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,week_of
Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Sales,% CHG,LW Sales,RTD Sales,2023.06.29
184,Mj The Musical - Original Broadway Cast,Various Artists,EPIC,EPIC,12,151,181,5,21,-27.6,29,3271,2023.06.29
186,I Hope You Can Forgive Me,Madison McFerrin,333 Company,INDI,37,,107,6,20,42.9,14,793,2023.06.29
186,Definitive Stereo Fats Domino:,Fats Domino,,,134,164,176,5,20,-25.9,27,147,2023.06.29
186,Round Trip,Statik Selektah,MASS APPEAL RECORDS,MSAP,43,126,43,3,20,-50.0,40,245,2023.06.29
186,Sundown,Eddie Chacon,STACRECORDS,STDS,65,,170,10,20,150.0,8,578,2023.06.29
186,Sticking With It,Dip,DUALTONE RECORD,DUAL,3,167,141,5,20,-23.1,26,5227,2023.06.29
191,Jean Carne Jid012,"Jean Carne, Adrian Younge & Ali Shaheed Muhammad",JAZZISDEAD,JAAD,93,161,,3,19,-32.1,28,901,2023.06.29
191,Gothic Luxury,Meechy Darko,LOMA VISTA,LVR ,14,91,109,42,19,-72.9,70,7628,2023.06.29
191,Changing Light,Ironsides,Colemine Records,COLR,38,,97,5,19,35.7,14,498,2023.06.29
191,When I Hear Your Name,MAETA,ROC NATION,R0CN,14,57,14,3,19,-84.9,126,888,2023.06.29
195,Paid In Full,"Hus Kingpin , Smoovth",,,195,,,1,18,,0,18,2023.06.29
195,Good Movie,Pi'erre Bourne,INTERSCOPE/GEFFEN/A&M,INT ,41,146,,6,18,-43.8,32,534,2023.06.29
195,Skanless Levels 4,2 Eleven,THE ORCHARD,ORCH,195,,,1,18,,0,18,2023.06.29
195,Some Of Us Are Brave,Danielle Ponder, INDY LABEL,INDY,15,151,,38,18,-37.9,29,4135,2023.06.29
195,90 Days,Finesse2tymes,ATLANTIC GROUP,ATLG,37,,,1,18,28.6,14,1833,2023.06.29
195,Simple.,IDK,WARNER RECORDS,WAR ,58,,,1,18,63.6,11,1207,2023.06.29
195,People's Champ,Upchurch, INDEPENDENT LABEL SUBMISSION,INDI,3,,,1,18,80.0,10,6058,2023.06.29
195,Face,BabyFace Ray,Empire,EMPR,39,,,1,18,100.0,9,1667,2023.06.29
Copyright (c) 2023 MRC Data LLC. Confidential and Proprietary.,,,,,,,,,,,,,2023.06.29
