US_Chart - R&B/Hip-Hop On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2024.10.31
158,Workout,J. Cole,J. COLE CATALOG,INT,79,164,149,184,3298192,0.7,3275505,3015212,282980,167981908,1146199352,2024.10.31
159,It Was A Good Day,Ice Cube,CAPITOL MUSIC GROUP,CAP ,25,0,0,149,3297742,15.1,2864818,2916980,380762,144606453,1173910528,2024.10.31
160,The Box,Roddy Ricch,ATLANTIC GROUP,ATLG,1,157,183,242,3294799,-0.3,3305595,2770983,523816,150096598,2321384698,2024.10.31
161,Redbone,Childish Gambino,GLASSNOTE,GLSN,9,0,0,346,3290736,24.2,2649000,3038102,252634,142802901,1835280245,2024.10.31
162,500lbs,Lil Tecca,,,12,135,135,65,3290371,-5.6,3485913,3131808,158563,223566188,377704468,2024.10.31
163,All Girls Are The Same,Juice WRLD,INTERSCOPE/GEFFEN/A&M,INT ,16,145,158,342,3289630,-3.5,3407256,2925920,363710,151925537,1858653414,2024.10.31
164,Love.,Kendrick Lamar,INTERSCOPE/GEFFEN/A&M,INT ,8,142,141,221,3286138,-4.2,3431131,3114976,171162,188422970,1648735725,2024.10.31
165,God's Plan,Drake,CASH MONEY / REPUBLIC RECORDS,R-RR,1,158,179,345,3282684,-0.7,3305381,3065996,216688,159834644,2938549755,2024.10.31
166,Best I Ever Had,Drake,CASH MONEY,R-CM,54,155,168,120,3282235,-1.5,3331889,3194351,87884,180466625,1086464589,2024.10.31
167,Embrace It,Ndotz,,,71,121,97,6,3274636,-8.8,3588970,3018938,255698,24858144,24858144,2024.10.31
168,Alright,Kendrick Lamar,INTERSCOPE/GEFFEN/A&M,INT ,41,138,160,60,3259093,-5.5,3449338,3158502,100591,133300444,849042018,2024.10.31
169,Mask Off,Future,EPIC,EPIC,2,151,159,300,3251137,-3.9,3383177,3058162,192975,180293761,2254003600,2024.10.31
170,Residuals,Chris Brown, RCA,RCA,47,161,147,17,3242971,-1.6,3297088,2496946,746025,89616390,89616390,2024.10.31
171,Broken Clocks,Sza, RCA,RCA,61,167,178,107,3240520,-0.4,3251974,3026550,213970,161593339,1004735650,2024.10.31
172,In Da Club,50 Cent,INTERSCOPE/GEFFEN/A&M,INT ,23,147,148,214,3233254,-5.0,3402013,2615035,618219,156520693,1378338145,2024.10.31
173,Big Poppa,Notorious B.I.G.,BADB,BADB,77,178,198,36,3214511,0.1,3211351,3051483,163028,110362520,1002591608,2024.10.31
