US_Chart - Rock On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.06.22
85,Landslide,Fleetwood Mac,WARNER RECORDS,WAR ,13,95,96,297,2993929,-3.9,3115859,2822697,171232,84073247,726293900,2023.07.13
86,Free Fallin',Tom Petty,INTERSCOPE/GEFFEN/A&M,INT ,4,66,104,300,2985838,-17.8,3633753,2872796,113042,72049886,677132462,2023.07.13
87,Seven Nation Army,White Stripes,03397,XLXR,31,108,88,398,2982219,-0.9,3008741,2855979,126240,84975151,829715225,2023.07.13
88,Pumped Up Kicks,Foster The People,SONY/COLUMBIA,COL,1,100,83,398,2966011,-3.3,3068014,2398424,567587,81905681,1402336287,2023.07.13
89,Feel Good Inc,Gorillaz,CAPITOL MUSIC GROUP,CAP ,12,96,69,398,2955577,-5.0,3112052,2488313,467264,85487331,885932016,2023.07.13
90,Dog Days Are Over,Florence + The Machine,REPUBLIC RECORDS,R-RR,27,128,100,55,2955164,4.9,2815852,2613795,341369,68213732,489961279,2023.07.13
91,Numb,Linkin Park,WARNER RECORDS,WAR ,2,121,98,398,2954756,3.9,2845125,2518784,435972,85277948,943383529,2023.07.13
92,Freaks,Surf Curse,ATLANTIC GROUP,ATLG,8,110,89,117,2949961,-1.1,2983633,1920719,1029242,90379162,441707478,2023.07.13
93,Feel It Still,Portugal. The Man,ATLANTIC GROUP,ATLG,2,168,178,322,2918397,21.4,2403315,2152678,765719,63493988,1229676491,2023.07.13
94,Fast Car,Tracy Chapman,SHTF,SHTF,59,120,137,73,2897519,1.2,2863872,2454341,443178,58366192,483540154,2023.07.13
95,Just Pretend,Bad Omens, SUMERIAN RECORDS,SUME,90,123,94,38,2894496,1.9,2839752,2556686,337810,67333018,101046213,2023.07.13
96,Enter Sandman,Metallica,WARNER RECORDS,WAR ,31,107,87,398,2888429,-4.3,3017779,2734907,153522,82727402,860848859,2023.07.13
97,Radioactive,Imagine Dragons,THE ORCHARD,ORCH,3,146,117,398,2863289,10.3,2595529,2222617,640672,79907690,1431117401,2023.07.13
98,Green Green Grass,George Ezra,Columbia Records,COL ,7,139,131,26,2862759,7.7,2657285,811073,2051686,122822709,134024326,2023.07.13
99,Heart To Heart,Mac DeMarco,"MAC DEMARCO, LLC",MCMD,15,134,105,31,2858349,5.5,2709464,2535151,323198,125344593,153629753,2023.07.13
100,House Of The Rising Sun,Animals,ABKCO,ABK ,45,115,118,373,2856331,-2.3,2924133,1875972,980359,75607104,721418040,2023.07.13
101,Carry On My Wayward Son,Kansas,EPIC,EPIC,42,84,113,398,2845150,-13.2,3276250,2573490,271660,78285712,789439560,2023.07.13
102,The Less I Know The Better,Tame Impala,INTERSCOPE/GEFFEN/A&M,INT ,1,112,102,331,2834581,-4.1,2954680,2650083,184498,83150594,936389116,2023.07.13
103,Back In Black,AC/DC,THE ORCHARD,ORCH,25,104,103,398,2824581,-7.3,3048011,2524955,299626,77221736,875430603,2023.07.13
104,The Middle,Jimmy Eat World,INTERSCOPE/GEFFEN/A&M,INT ,85,102,110,356,2824138,-7.8,3062683,2719471,104667,70699339,625071499,2023.07.13
105,You Shook Me All Night Long,AC/DC,Columbia Records,COL ,43,99,109,339,2818870,-8.3,3073684,2646649,172221,73122445,708977539,2023.07.13
106,More Than a Feeling,Boston,EPIC,EPIC,51,89,126,395,2818730,-12.7,3230440,2596646,222084,73443978,759172119,2023.07.13
107,Sparks,Coldplay,ATLANTIC GROUP,ATLG,54,73,144,96,2789388,-21.6,3558364,2179982,609406,78574233,361206687,2023.07.13
108,Think Fast,Dominic Fike,COLUMBIA,COL,108,,,1,2784212,434254.4,641,2752747,31465,2784853,2784853,2023.07.13
109,In the End,Linkin Park,WARNER RECORDS,WAR ,3,133,108,398,2784034,1.5,2741856,2675803,108231,87371200,1005896515,2023.07.13
110,Do I Wanna Know?,Arctic Monkeys,DOMINO,DOMI,24,156,130,398,2767364,10.2,2510436,2219296,548068,77297388,835342162,2023.07.13
111,Come As You Are,Nirvana,INTERSCOPE/GEFFEN/A&M,INT ,52,126,116,382,2765067,-2.3,2829580,2552233,212834,76923213,675128322,2023.07.13
112,Rocket Man,Elton John,ISLAND,ISL ,12,119,123,325,2760960,-4.1,2879112,2626585,134375,76193879,818465710,2023.07.13
113,Under The Bridge,Red Hot Chili Peppers,CAPITOL MUSIC GROUP,CAP ,47,125,106,398,2756516,-2.6,2831377,2529851,226665,74295575,788470290,2023.07.13
114,NOTION,Rare Occasions,ATLANTIC GROUP,ATLG,9,147,138,85,2755077,6.6,2584191,1445305,1309772,69501322,275351782,2023.07.13
115,Need 2,Pinegrove,,,78,143,90,5,2748597,5.3,2609177,2549771,198826,17568286,22519229,2023.07.13
116,I Love You So,Walters, WARNER Records,WAR ,4,135,101,92,2746101,1.4,2708531,2043405,702696,89077421,466981126,2023.07.13
117,All The Small Things,Blink-182,INTERSCOPE/GEFFEN/A&M,INT ,65,132,114,396,2744528,-0.2,2749655,2609349,135179,67162287,649403159,2023.07.13
118,Another One Bites The Dust,Queen,HOLLYWOOD RECORDS,HOL ,6,117,111,305,2744130,-4.9,2886340,2719466,24664,75466342,960011287,2023.07.13
119,Safe and Sound,Capital Cities,CAPITOL MUSIC GROUP,CAP ,17,158,149,217,2735473,9.5,2498187,1829656,905817,70790553,599242954,2023.07.13
120,Walking on a Dream,Empire Of The Sun,ASTRALWERKS,ASTW,17,129,115,271,2734890,-2.5,2806308,2272534,462356,64889482,603352209,2023.07.13
121,Summer of '69,Bryan Adams,A&M RECORDS,AAM ,64,76,121,172,2728239,-21.3,3466572,2581145,147094,64429377,532330258,2023.07.13
122,"Sex, Drugs, Etc.",Beach Weather,Arista,ARI,33,137,120,48,2711254,1.0,2685489,2475897,235357,93490565,191519656,2023.07.13
123,Home,Edith Whiskers, INDEPENDENT LABEL SUBMISSION,INDI,1,92,37,129,2705738,-14.1,3151528,421228,2284510,121031850,545205095,2023.07.13
124,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,ISLAND,ISL ,19,59,81,252,2701764,-27.6,3730490,1392424,1309340,62621198,732766556,2023.07.13
125,Still Into You,Paramore,FUELED BY RAMEN,FUER,25,170,154,131,2691790,13.3,2376848,2440254,251536,58313276,526895736,2023.07.13
126,The Joker,Steve Miller Band,CAPITOL MUSIC GROUP,CAP ,28,111,124,223,2687748,-9.7,2976238,2541051,146697,64821859,609054539,2023.07.13
127,Werewolf (Feat. Bring Me The H,Lil Uzi Vert,ATLANTIC GROUP,ATLG,10,10,0,2,2684464,-59.8,6683451,2541701,142763,9370538,9370538,2023.07.13
128,Chamber Of Reflection,Mac DeMarco, INDEPENDENT LABEL SUBMISSION,INDI,37,151,160,107,2682565,4.4,2570060,2030726,651839,86889772,453956790,2023.07.13
129,Ho Hey,Lumineers,CAPITOL MUSIC GROUP,CAP ,37,145,125,384,2646980,1.8,2599442,2221071,425909,75619602,718138214,2023.07.13
130,Hold The Line,Toto,Columbia Records,COL ,4,141,107,5,2633976,0.3,2626670,1612909,1021067,54310552,350129995,2023.07.13
131,Spit In My Face!,Thxsomch, ELEKTRA ,ELEK,16,98,82,36,2613169,-15.5,3091616,2061571,551598,112613662,146025950,2023.07.13
132,Can You Feel My Heart,Bring Me The Horizon,EPITAPH,EPI ,6,196,0,82,2608628,16.8,2232961,1084363,1524265,57415810,425934916,2023.07.13
133,Misery Business,Paramore,FUELED BY RAMEN,FUER,24,164,128,178,2586005,5.9,2442893,2355880,230125,69414563,595953512,2023.07.13
134,Waste,Kxllswxtch,,,22,116,85,27,2578338,-11.2,2902702,1311188,1267150,83088828,107529377,2023.07.13
135,King For A Day,Pierce The Veil,FEARLESS RECORD,FEAR,29,122,68,47,2564588,-9.8,2843368,1814183,750405,64026392,329601390,2023.07.13
136,POUR SOME SUGAR ON ME,Def Leppard,ISLAND,ISL ,37,124,134,244,2563314,-9.6,2835227,2337845,225469,66937072,575980094,2023.07.13
137,Scar Tissue,Red Hot Chili Peppers,WARNER RECORDS,WAR ,97,152,132,224,2551890,-0.7,2569755,2260604,291286,67009969,568033621,2023.07.13
138,Listen To The Music,Doobie Brothers,WARNER RECORDS,WAR ,77,103,145,111,2542064,-16.9,3060197,2461830,80234,61009686,489994706,2023.07.13
139,Island in the Sun,Weezer,INTERSCOPE/GEFFEN/A&M,INT ,69,109,119,147,2541183,-15.1,2992872,2380683,160500,62054364,545391214,2023.07.13
140,Bad Moon Rising,Creedence Clearwater Revival,CRAFT RECORDINGS,CRFT,37,101,142,272,2537547,-17.2,3064777,2431060,106487,63355369,584357427,2023.07.13
141,Under Pressure,Queen & David Bowie,SONY/COLUMBIA,COL,3,138,140,362,2526463,-5.3,2667635,2432154,94309,67587241,809464464,2023.07.13
142,Tek It,Cafune,NEW ELEKTRA,NELK,6,140,129,66,2498411,-5.0,2631241,1961091,537320,79014642,246833647,2023.07.13
143,Don't Stop Me Now,Queen,HOLLYWOOD RECORDS,HOL ,8,142,133,387,2495177,-4.7,2618528,1987444,507733,67098061,864488257,2023.07.13
144,Go Your Own Way,Fleetwood Mac,WARNER RECORDS,WAR ,47,130,148,180,2486989,-11.2,2799315,2438169,48820,63009597,543837106,2023.07.13
145,Welcome To The Jungle,Guns N' Roses,INTERSCOPE/GEFFEN/A&M,INT ,26,144,139,398,2486816,-4.5,2605196,2269208,217608,69043391,774161321,2023.07.13
146,American Pie,Don McLean,CAPITOL MUSIC GROUP,CAP ,22,44,158,217,2480266,-40.6,4177807,2413328,66938,60428119,586336705,2023.07.13
147,"Sugar, We're Goin Down",Fall Out Boy,ISLAND,ISL,79,162,150,398,2463022,0.5,2451426,2261808,201214,64448793,682574766,2023.07.13
148,For What It's Worth,Buffalo Springfield,ATLANTIC GROUP,ATLG,49,136,147,147,2451700,-9.0,2694610,2252960,198740,60837637,537726021,2023.07.13
149,In The Air Tonight,Phil Collins,ATLANTIC GROUP,ATLG,4,148,143,398,2431786,-5.8,2580881,2196624,235162,68190714,789365196,2023.07.13
150,Everywhere,Fleetwood Mac,WARNER RECORDS,WAR ,83,150,135,40,2372020,-8.0,2578687,2214956,157064,66717617,340164618,2023.07.13
151,Highway To Hell,AC/DC,Columbia Records,COL ,12,155,141,398,2371505,-6.0,2522359,2199513,171992,63645443,769852764,2023.07.13
152,Dancing in the Moonlight,King Harvest,THE ORCHARD,ORCH,109,131,159,131,2371151,-14.0,2756260,2241106,130045,59982112,466961672,2023.07.13
153,TV,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,7,191,151,51,2368922,5.2,2252659,2043477,325445,96840289,187195824,2023.07.13
154,Break Stuff,Limp Bizkit,INTERSCOPE/GEFFEN/A&M,INT ,118,0,195,31,2359113,8.1,2181652,2055324,303789,64508689,393388919,2023.07.13
155,Zombie,Cranberries,ISLAND,ISL,4,167,161,272,2329356,-3.5,2412983,1926045,403311,59864457,614397490,2023.07.13
156,How You Remind Me,Nickelback,ROADRUNNER RECORDS,ROAD,101,180,156,274,2320199,0.9,2300214,2072282,247917,63021653,579236525,2023.07.13
157,Wonderwall,Oasis,Columbia Records,COL ,36,177,169,393,2308201,-1.0,2330440,2168737,139464,63508820,722521774,2023.07.13
158,Eyes Without A Face,Billy Idol,CAPITOL MUSIC GROUP,CAP ,143,163,152,8,2305985,-5.8,2447714,1674286,631699,45458261,193229979,2023.07.13
159,Long Cool Woman In A Black Dress,Hollies,EPIC,EPIC,14,93,14,33,2305583,-26.8,3147767,1990899,314684,64558976,460425987,2023.07.13
160,You’re Gonna Go Far,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,35,166,127,5,2294399,-5.4,2425356,2248537,45862,14591737,14591737,2023.07.13
161,We Will Rock You,Queen,HOLLYWOOD RECORDS,HOL ,8,175,163,396,2293214,-2.1,2342521,2015981,277233,61080286,852688373,2023.07.13
162,Cigarette Daydreams,Cage The Elephant, RCA,RCA,43,182,157,187,2289813,-0.3,2296635,2230241,59572,64323957,604372561,2023.07.13
163,Last Resort,Falling In Reverse,Epitaph,EPI,61,61,176,3,2282109,-38.3,3699424,1696849,585260,8227896,8227896,2023.07.13
164,Change (In the House of Flies),Deftones,WARNER RECORDS,WAR ,118,0,0,34,2280538,8.6,2100588,1958224,322314,62865579,334041379,2023.07.13
165,Softcore,Neighbourhood,Columbia Records,COL ,10,0,173,79,2279728,5.0,2170748,1764386,515342,72198440,264867372,2023.07.13
166,What's Up,4 Non Blondes,THE ORCHARD,ORCH,60,169,165,304,2277371,-4.9,2393539,1647087,630284,58474878,596944110,2023.07.13
167,Heathens,Twenty One Pilots,ATLANTIC GROUP,ATLG,1,197,155,368,2259961,1.3,2230552,1654970,604991,74049853,1655397128,2023.07.13
168,I Won'T Back Down,Tom Petty,INTERSCOPE/GEFFEN/A&M,INT ,6,160,198,30,2253460,-9.5,2490939,2184464,68996,51890586,448899139,2023.07.13
169,Last Resort,Papa Roach,DGC/INTERSCOPE,DGCI,35,194,164,376,2246121,0.0,2245926,2080469,165652,58873922,670107288,2023.07.13
170,Rises The Moon,Liana Flores,,,57,0,172,41,2240985,3.5,2165088,1948884,292101,70737867,196414952,2023.07.13
171,Sail,AWOLNATION,RDBL,RDBL,6,0,0,314,2233267,2.4,2181637,1360435,872832,52295340,1060074219,2023.07.13
172,Electric Love,BORNS,INTERSCOPE/GEFFEN/A&M,INT ,1,178,146,342,2229839,-4.1,2325710,2034086,195753,65841708,818998348,2023.07.13
173,Night Moves,Bob Seger & The Silver Bullet Band,CAPITOL MUSIC GROUP,CAP ,116,153,182,122,2226889,-13.2,2566685,2046211,180678,55647570,438483872,2023.07.13
174,DRAGULA,Rob Zombie,INTERSCOPE/GEFFEN/A&M,INT ,76,0,179,26,2226584,4.5,2130350,1929963,296621,56380898,433001319,2023.07.13
175,Work Song,Hozier, AWAL,AWAL,75,0,0,37,2217981,66.6,1331631,2102784,115197,30130822,347891921,2023.07.13
176,A Sky Full Of Stars,Coldplay,ATLANTIC GROUP,ATLG,16,0,189,143,2214719,3.9,2131100,1697984,516735,58732270,521497381,2023.07.13
177,Fade Into You,Mazzy Star,CAPITOL MUSIC GROUP,CAP ,126,0,177,48,2213685,1.9,2172166,1979608,234077,62308340,408296143,2023.07.13
178,Daddy Issues,Neighbourhood,Columbia Records,COL ,5,0,185,163,2212242,1.7,2175707,1855434,356808,69238359,663957963,2023.07.13
179,Kickstart My Heart,Motley Crue,MOTLEY RECORDS,MTLY,28,188,180,134,2212148,-2.6,2271570,1973021,239127,59497745,509982604,2023.07.13
180,Ain'T No Rest For The Wicked,Cage The Elephant, RCA,RCA,82,0,184,333,2203028,0.5,2191234,2057433,145595,57920425,620258290,2023.07.13
181,Spirit in the Sky,Norman Greenbaum,CRAFT RECORDINGS,CRFT,27,71,27,67,2198087,-38.3,3564106,1727660,470427,53582841,489472211,2023.07.13
182,We Are Young,fun. Feat. Janelle Monae,FUELED BY RAMEN,FUER,35,179,174,379,2197983,-5.1,2316112,1952279,245704,60868506,782174199,2023.07.13
183,Ride,Twenty One Pilots,FUELED BY RAMEN,FUER,1,0,0,377,2197084,1.7,2161105,1983991,213093,56300368,1221053267,2023.07.13
184,Why'd You Only Call Me When You're High?,Arctic Monkeys,DOMINO,DOMI,10,198,181,142,2195783,-0.7,2210820,2079589,116194,67012897,499855240,2023.07.13
185,Best Day Of My Life,American Authors,ISLAND,ISL,58,200,167,196,2192355,-0.5,2204268,1632049,560306,58445159,579264827,2023.07.13
186,Borderline,Tame Impala,INTERSCOPE/GEFFEN/A&M,INT ,17,0,187,48,2191173,0.5,2180211,1958951,232222,65305448,313367409,2023.07.13
187,What I've Done,Linkin Park,WARNER RECORDS,WAR ,7,0,0,123,2186803,3.2,2119563,1440751,746052,49364070,501262075,2023.07.13
188,"SOLDIER, POET, KING",Oh Hello's,ELEKTRA,EEE ,33,0,0,18,2179934,30.5,1670080,824199,1355735,66645138,195499473,2023.07.13
189,Human,Rag'N'Bone Man,Columbia Records,COL ,19,0,197,187,2166075,7.3,2018223,1271157,894918,71051131,555321463,2023.07.13
190,"Hey, Soul Sister",Train,SONY/COLUMBIA,COL,52,199,175,357,2161834,-2.1,2208576,1989165,172669,56312169,731002844,2023.07.13
191,I'm Yours,Jason Mraz,ATLANTIC GROUP,ATLG,13,193,183,395,2156452,-4.0,2247176,2007212,149240,61593249,983638524,2023.07.13
192,Paradise City,Guns N' Roses,INTERSCOPE/GEFFEN/A&M,INT ,45,171,199,338,2148306,-8.7,2354129,1939658,208648,55239670,615682691,2023.07.13
193,September (We Got Fire),Sparky Deathcap,,,84,161,0,4,2141259,-13.8,2484486,488650,1652609,34163124,34674957,2023.07.13
194,Mr. Jones,Counting Crows,CAPITOL MUSIC GROUP,CAP ,124,165,190,214,2139628,-12.0,2431034,1910039,229589,54302685,556543967,2023.07.13
195,Pompeii,Bastille,VIRGIN,VRGN,28,0,186,395,2135562,2.2,2089261,1920926,214636,62119444,791309635,2023.07.13
196,Crazy Train,Ozzy Osbourne,EPIC,EPIC,78,192,196,198,2132174,-5.2,2249007,1983470,148704,60513579,570335941,2023.07.13
197,Not Allowed,TV Girl,,,81,0,0,87,2128324,2.4,2079044,2051538,76786,63660279,240648823,2023.07.13
198,Gilded Lily,Cults, INDEPENDENT LABEL SUBMISSION,INDI,23,0,136,35,2123995,-2.7,2183464,1424892,699103,90906909,134353593,2023.07.13
199,Rhiannon,Fleetwood Mac,WARNER RECORDS,WAR ,14,190,194,165,2119866,-6.0,2256099,2037545,82321,60394401,551620658,2023.07.13
200,"You're Gonna Go Far, Kid",Offspring,UNIVERSAL MUSIC ENTERPRISES,UME ,62,0,191,338,2115644,1.9,2075424,1990302,125342,56960763,628957039,2023.07.13
Copyright (c) 2023 MRC Data LLC. Confidential and Proprietary.,,,,,,,,,,,,,,,,2023.07.13
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.07.20
1,Everybody Wants To Rule The World,Tears For Fears,ISLAND,ISL ,1,1,1,289,14398869,33.6,10779775,4846599,9552270,192583644,916123706,2023.07.20
2,Dial Drunk,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,2,21,27,6,9768190,97.6,4943502,9563100,205090,41874371,41874371,2023.07.20
3,Heat Waves,Glass Animals,REPUBLIC RECORDS,R-RR,1,2,4,128,8142321,1.4,8026679,5801009,2341312,246895359,1633904297,2023.07.20
4,Bones,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,1,5,8,71,7798415,4.7,7449310,2826028,4972387,270603126,531501789,2023.07.20
5,Sweater Weather,Neighbourhood,Columbia Records,COL ,1,4,7,399,7519068,-1.5,7632688,4722805,2796263,258491608,1674808266,2023.07.20
6,Until I Found You,Stephen Sanchez,MERCURY / REPUBLIC RECORDS,R-MR,1,3,6,63,7495965,-2.2,7668125,4935867,2560098,292583939,516952121,2023.07.20
7,Mr. Blue Sky,Electric Light Orchestra,EPIC,EPIC,7,69,78,325,7206176,118.9,3292387,2029585,5176591,104665794,960361921,2023.07.20
8,Believer,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,1,9,11,337,6868931,7.6,6381842,3871369,2997562,184712970,2760907395,2023.07.20
9,Dream On,Aerosmith,Columbia Records,COL ,1,7,12,394,6517237,-0.6,6553420,3120236,3397001,222511660,988548235,2023.07.20
10,Devochka S Kare,Mukka,,,3,31,13,37,6503436,50.3,4325556,16073,6487363,101146517,180362756,2023.07.20
11,Dreams,Fleetwood Mac,WARNER RECORDS,WAR ,1,11,9,377,6447580,2.5,6287499,5894042,553538,172630742,1337887588,2023.07.20
12,The Perfect Girl,Mareux, WARNER Records,WAR ,2,6,14,57,6229770,-10.3,6945745,1276033,4953737,215818454,380404709,2023.07.20
13,Space Song,Beach House, SUB POP,SUBP,1,15,17,123,5997515,10.5,5427673,2837565,3159950,179741431,620674937,2023.07.20
14,House of Memories,Panic! At The Disco,FUELED BY RAMEN,FUER,2,14,28,94,5964048,8.2,5512219,1407710,4556338,215670201,786083751,2023.07.20
15,Son Of A Sinner,Jelly Roll,BROKEN BOW RECO,BB2 ,7,13,16,64,5950651,3.2,5768790,5208621,742030,169064277,381220980,2023.07.20
16,Riptide,Vance Joy,ATLANTIC GROUP,ATLG,3,8,3,399,5911355,-8.6,6469444,3790972,2120383,168018060,1290749978,2023.07.20
17,Viva La Vida,Coldplay,ATLANTIC GROUP,ATLG,3,10,5,399,5896554,-6.8,6328448,3490758,2405796,200828669,987944476,2023.07.20
18,Eye Of The Tiger,Survivor, RCA,RCA,9,35,37,399,5575667,33.6,4172355,2577951,2997716,115368965,1182376716,2023.07.20
19,Thunder,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,1,30,49,325,5350194,22.6,4362970,3752803,1597391,109209287,1825530442,2023.07.20
20,Demons,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,3,25,29,399,5347662,14.0,4692359,2186717,3160945,127487384,1285744429,2023.07.20
21,Romantic Homicide,D4vd,,,1,17,30,50,5285018,2.9,5137425,4135110,1149908,214155135,416774988,2023.07.20
22,Mr. Brightside,Killers,ISLAND,ISL,9,43,42,399,5110557,29.6,3944807,3922251,1188306,117680027,1223922241,2023.07.20
23,Don't Stop Believin',Journey,Columbia Records,COL ,2,18,18,399,4965566,-1.6,5047433,4886423,79143,137441687,1417927708,2023.07.20
24,Past Lives,BORNS,INTERSCOPE/GEFFEN/A&M,INT ,12,12,70,9,4957276,-14.9,5825007,978095,3979181,61591147,154805177,2023.07.20
25,All Star,Smash Mouth,INTERSCOPE/GEFFEN/A&M,INT ,2,51,39,390,4876446,30.2,3746324,1838009,3038437,110535811,1281037510,2023.07.20
26,Everybody Talks,Neon Trees,ISLAND,ISL ,4,19,22,205,4798288,-4.5,5026896,1818090,2980198,112339510,733448715,2023.07.20
27,Bad Liar,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,3,55,79,187,4728139,29.7,3644695,975815,3752324,72217761,629085380,2023.07.20
28,Somebody That I Used To Know,Gotye Feat. Kimbra,REPUBLIC RECORDS,R-RR,1,20,38,399,4689432,-5.7,4974970,2600757,2088675,160656346,1256301691,2023.07.20
29,Yellow,Coldplay,ATLANTIC GROUP,ATLG,1,23,2,340,4678238,-1.1,4730883,2896526,1781712,153342117,876714473,2023.07.20
30,Here With Me,D4vd,,,1,33,51,41,4641624,7.8,4306280,3292197,1349427,202515757,263627806,2023.07.20
31,Dawns,"Zach Bryan, Maggie Rogers", WARNER Records,WAR,3,27,33,25,4636765,2.9,4507477,4524906,111859,145332240,145332240,2023.07.20
32,Take Me to Church,Hozier,Columbia Records,COL ,3,29,35,399,4629255,3.9,4457330,3804627,824628,150677018,1435117543,2023.07.20
33,Everlong,Foo Fighters, RCA,RCA,15,32,43,361,4426435,2.4,4320679,4083034,343401,138857851,749437423,2023.07.20
34,Free Bird,Lynyrd Skynyrd,INTERSCOPE/GEFFEN/A&M,INT ,24,24,62,350,4403379,-6.3,4700934,2262629,2140750,98311886,707233812,2023.07.20
35,Somewhere Only We Know,Keane,INTERSCOPE/GEFFEN/A&M,INT ,8,26,46,46,4392906,-2.9,4522274,2024865,2368041,102152831,412889440,2023.07.20
36,Hotel California,Eagles,ELEKTRA ENTERTA,EEG,6,22,21,399,4370238,-9.9,4851808,3934732,435506,132551214,1244417278,2023.07.20
37,Hymn For The Weekend,Coldplay,NOW,NOW ,1,39,25,264,4352359,6.2,4099208,1320733,3031626,147660045,1205975601,2023.07.20
38,Mary On A Cross,Ghost,LOMA VISTA,LVR,6,28,55,49,4347847,-3.1,4488534,1483933,2863914,153386383,293623096,2023.07.20
39,I Know You,Faye Webster,,,39,46,0,2,4347156,14.8,3787905,4029516,317640,14914065,16469092,2023.07.20
40,Fortunate Son,Creedence Clearwater Revival,SONY CLASSICS,SNYC,5,34,20,386,4310870,2.4,4209061,3492235,818635,119061543,964451018,2023.07.20
41,Way Down We Go,Kaleo,NEW ELEKTRA,NELK,20,70,94,248,4297544,31.8,3260847,1890215,2407329,65123026,586849416,2023.07.20
42,Just a Girl,No Doubt,INTERSCOPE/GEFFEN/A&M,INT ,1,36,47,17,4175794,0.9,4136539,1085221,3090573,123745694,339541825,2023.07.20
43,Have You Ever Seen The Rain?,Creedence Clearwater Revival,CRAFT RECORDINGS,CRFT,30,37,36,398,4089397,-1.0,4130971,3574243,515154,107438301,888303645,2023.07.20
44,Enemy,"Imagine Dragons, JID & League Of Legends",INTERSCOPE/GEFFEN/A&M,INT ,1,54,75,90,4082264,11.1,3675038,2483368,1598896,148568872,841893368,2023.07.20
45,The Night We Met,Lord Huron,INTERSCOPE/GEFFEN/A&M,INT ,2,48,65,329,4076963,8.3,3763797,3624522,452441,108293705,991176258,2023.07.20
46,Beggin,Maneskin,Sony Music Latin/Arista,ARML,1,38,67,108,4004067,-2.4,4101672,1516953,2487114,140577507,846485553,2023.07.20
47,Stick Season,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,20,59,82,54,3928598,12.3,3498345,3847417,81181,83932018,169026121,2023.07.20
48,Smells Like Teen Spirit,Nirvana,INTERSCOPE/GEFFEN/A&M,INT ,4,42,53,399,3926691,-0.7,3955542,3389704,536987,120509090,1217850796,2023.07.20
