Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,Genre,Release Date,TW Total Activity,% Chg Total Activity,LW Total Activity,TW Song Sales,TW On-Demand Audio Streams,TW On-Demand Video Streams,TW Total SES (Audio + Video),week_of
14,Dear John (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,14,,,1,Country,07/07/2023,102242,,,669,12881115,371261,101573,2023.07.13
15,Better Than Revenge (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,15,,,1,Country,07/07/2023,100863,,,923,12701836,395260,99940,2023.07.13
16,Castles Crumbling (Taylor’s Version) (From The Vault),Taylor Swift,REPUBLIC RECORDS,R-RR,16,,,1,Country,06/27/2023,98855,,,1742,12321007,285185,97113,2023.07.13
17,Speak Now (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,17,,,1,Country,07/07/2023,98475,,,751,12391539,339623,97724,2023.07.13
18,When Emma Falls In Love (Taylor's Version) (From The Vault),Taylor Swift,REPUBLIC RECORDS,R-RR,18,,,1,Country,06/27/2023,96742,,,1322,12122748,256491,95420,2023.07.13
19,Electric Touch (Taylor’s Version) (From The Vault),Taylor Swift,REPUBLIC RECORDS,R-RR,19,,,1,Country,06/27/2023,92887,,,1728,11573862,280371,91159,2023.07.13
20,Thinkin' Bout Me,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,5,11,12,19,Country,03/03/2023,92726,-6.0,98670,2417,11551673,706818,90309,2023.07.13
21,Mean (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,21,,,1,Country,07/07/2023,89564,,,1342,11230747,255177,88222,2023.07.13
22,Favorite Song,Toosii,CAPITOL RECORDS,CAP,5,13,9,21,R&B/Hip-Hop,01/30/2023,88770,-6.5,94918,1266,10791251,3160293,87504,2023.07.13
23,Foolish One (Taylor’s Version) (From The Vault),Taylor Swift,REPUBLIC RECORDS,R-RR,23,,,1,Country,06/27/2023,88199,,,1088,11071075,234446,87111,2023.07.13
24,The Story Of Us (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,24,,,1,Country,07/07/2023,87170,,,724,10982674,252842,86446,2023.07.13
25,Timeless (Taylor’s Version) (From The Vault),Taylor Swift,REPUBLIC RECORDS,R-RR,25,,,1,Country,06/27/2023,83261,,,1422,10388833,286855,81839,2023.07.13
26,Kill Bill,Sza, RCA,RCA,1,18,15,31,R&B/Hip-Hop,12/08/2022,82784,-2.2,84614,591,11249223,627701,82193,2023.07.13
27,You Proof,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,4,15,20,61,Country,03/26/2022,81435,-5.8,86418,1059,10588971,493385,80376,2023.07.13
28,Calm Down,Rema & Selena Gomez,VIRGIN MUSIC GROUP,CIT,10,16,17,46,World Music,05/11/2018,81098,-5.1,85456,3266,9653765,1406033,77832,2023.07.13
29,Haunted (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,29,,,1,Country,07/07/2023,80617,,,773,10167283,239375,79844,2023.07.13
30,Flowers,Miley Cyrus,COLUMBIA,COL,1,17,16,26,Pop,01/13/2023,80098,-6.2,85399,3595,9575797,1110393,76503,2023.07.13
31,Long Live (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,31,,,1,Country,07/07/2023,76607,,,1167,9600357,258509,75440,2023.07.13
32,La Bebe,Yng Lvcas, WEA LATINA,WEAL,5,20,18,17,Latin,09/14/2021,75933,-6.3,81029,534,9847509,1888254,75399,2023.07.13
33,Religiously,Bailey Zimmerman, WARNER Records,WAR ,30,30,30,11,Country,03/17/2023,75635,7.3,70479,2238,9496430,302834,73397,2023.07.13
34,Need A Favor,Jelly Roll,BROKEN BOW RECO,BB2 ,22,24,22,15,Country,12/09/2022,74199,-2.7,76289,4746,8831780,565660,69453,2023.07.13
35,Barbie World (From Barbie The Album),"Nicki Minaj, Ice Spice & Aqua",ATLANTIC GROUP,ATLG,3,19,3,3,R&B/Hip-Hop,06/21/2023,73329,-9.6,81111,1905,9080599,1049201,71424,2023.07.13
36,Last Kiss (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,36,,,1,Country,07/07/2023,72829,,,600,9197183,221081,72229,2023.07.13
37,Wasted On You,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,3,25,24,131,Country,01/08/2021,72745,-3.9,75699,1310,9339278,906145,71435,2023.07.13
38,Never Grow Up (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,38,,,1,Country,07/07/2023,71263,,,1321,8914865,181567,69942,2023.07.13
39,Un X100to,"Grupo Frontera, Bad Bunny",THE ORCHARD,ORCH,3,23,21,13,Latin,04/16/2023,71247,-6.8,76429,565,9201935,1454866,70682,2023.07.13
40,Cupid,Fifty Fifty,WARNER RECORDS,WAR ,7,28,27,18,World Music,02/24/2023,70263,-2.7,72189,1234,9253809,1237645,69029,2023.07.13
41,Flooded The Face,Lil Uzi Vert,ATLANTIC GROUP,ATLG,5,5,,2,R&B/Hip-Hop,06/30/2023,68958,-51.0,140697,171,9166044,266582,68787,2023.07.13
42,Sabor Fresa,Fuerza Regida,SONY MUSIC LATIN,SML,11,22,11,3,Latin,06/22/2023,68062,-11.1,76589,312,8750854,1239136,67750,2023.07.13
43,Search & Rescue,Drake,OVO / REPUBLIC RECORDS,R-RR,1,37,31,14,R&B/Hip-Hop,04/06/2023,67737,3.1,65699,513,8851132,584274,67224,2023.07.13
44,Anti-Hero,Taylor Swift,REPUBLIC RECORDS,R-RR,1,29,25,38,Pop,10/20/2022,67080,-5.4,70911,1799,8500160,408138,65281,2023.07.13
45,Snooze,Sza,RCA,RCA,10,35,32,31,R&B/Hip-Hop,12/09/2022,66364,0.6,65955,1103,8321450,1221927,65261,2023.07.13
46,Where She Goes,Bad Bunny,,,3,32,23,8,Latin,05/17/2023,66074,-5.7,70057,440,8509081,821867,65634,2023.07.13
47,Tulum,Peso Pluma,THE ORCHARD,ORCH,21,21,,2,Latin,06/22/2023,65829,-15.4,77807,889,8135347,1465421,64940,2023.07.13
48,Innocent (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,48,,,1,Country,07/07/2023,64173,,,243,8147894,148914,63930,2023.07.13
49,Lady Gaga,"Peso Pluma, Gabito Ballesteros, Junior H",THE ORCHARD,ORCH,14,27,14,3,Latin,06/13/2023,62742,-14.1,73006,173,8630555,209708,62569,2023.07.13
50,Super Shy,Newjeans,HYBE,INT,50,,,1,World Music,07/06/2023,62138,,,1565,7105552,2125283,60573,2023.07.13
51,Die For You,Weeknd,XO / REPUBLIC RECORDS,R-RR,1,46,36,106,R&B/Hip-Hop,11/25/2016,61049,0.2,60935,325,8552132,558060,60724,2023.07.13
52,Karma,Taylor Swift,REPUBLIC RECORDS,R-RR,3,38,29,28,Pop,10/20/2022,60446,-7.1,65076,2027,7746361,457543,58419,2023.07.13
53,Ours (Taylor’s Version),Taylor Swift,REPUBLIC RECORDS,R-RR,53,,,1,Country,07/07/2023,60360,,,557,7642691,123183,59803,2023.07.13
54,Thought You Should Know,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,9,41,40,62,Country,04/29/2022,59962,-4.6,62831,1615,7430989,668047,58347,2023.07.13
55,Tqm,Fuerza Regida,SONY MUSIC LATIN,SML,16,39,26,8,Latin,05/18/2023,59864,-7.8,64938,151,7838091,1192733,59713,2023.07.13
56,Rock And A Hard Place,Bailey Zimmerman,Warner Music Nashville,WNS,11,45,39,57,Country,06/10/2022,57680,-6.0,61375,1035,7348982,640808,56645,2023.07.13
57,Sunflower,Post Malone & Swae Lee,REPUBLIC RECORDS,R-RR,1,49,37,246,R&B/Hip-Hop,10/17/2018,55713,-3.7,57836,646,7032793,1071205,55067,2023.07.13
58,Stand By Me,Lil Durk Feat. Morgan Wallen,Alamo Records,ALAM,8,47,34,7,Pop,05/12/2023,55568,-8.6,60780,1271,7000222,426194,54297,2023.07.13
59,As It Was,Harry Styles,Columbia Records,COL ,1,54,46,67,Pop,03/30/2022,55305,-1.4,56071,762,7213134,455971,54543,2023.07.13
60,Superman (Taylor’s Version),Taylor Swift,REPUBLIC RECORDS,R-RR,60,,,1,Country,07/07/2023,55175,,,363,7009298,105507,54812,2023.07.13
61,Endless Fashion,Lil Uzi Vert,ATLANTIC GROUP,ATLG,6,6,,2,R&B/Hip-Hop,06/29/2023,53288,-54.6,117347,1217,6849497,336285,52071,2023.07.13
62,Memory Lane,Old Dominion,,,45,57,45,8,Country,12/08/2022,52256,-4.4,54673,1723,6558721,86729,50533,2023.07.13
63,Tennessee Whiskey,Chris Stapleton,MERCURY NASHVILLE,MERN,39,53,53,356,Country,12/29/2014,52175,-8.4,56950,1229,6272215,1025263,50946,2023.07.13
64,Point Me To The Slut's,Fendida Rappa,,,64,,,1,R&B/Hip-Hop,12/07/2022,51972,,,3715,5747663,1699901,48257,2023.07.13
65,The Kind Of Love We Make,Luke Combs,COLUMBIA NASHVILLE,CLNV,7,62,57,56,Country,04/22/2022,51578,-4.0,53754,567,6606520,366316,51011,2023.07.13
66,Oh U Went,Young Thug,300 ENTERTAINME,300E,7,43,7,3,R&B/Hip-Hop,06/23/2023,51344,-17.7,62409,395,6566345,246847,50949,2023.07.13
67,Peaches & Eggplants,Young Nudy Feat. 21 Savage, RCA,RCA,61,78,61,8,R&B/Hip-Hop,02/28/2023,51131,3.2,49530,320,6533591,1239620,50811,2023.07.13
68,Put It On Da Floor,Latto, RCA,RCA,6,51,41,6,R&B/Hip-Hop,04/20/2023,50964,-11.1,57314,798,5775290,2198911,50166,2023.07.13
69,Sure Thing,Miguel, RCA,RCA,12,61,47,38,R&B/Hip-Hop,07/30/2010,50911,-5.5,53888,765,6738908,593163,50146,2023.07.13
70,Creepin',"Metro Boomin, The Weeknd & 21 Savage",REPUBLIC RECORDS,R-RR,2,67,55,32,R&B/Hip-Hop,12/02/2022,50905,-1.0,51430,531,6781372,357647,50374,2023.07.13
71,Luna,Peso Pluma,THE ORCHARD,ORCH,13,44,13,3,Latin,06/22/2023,50693,-17.5,61451,179,6643601,670805,50514,2023.07.13
72,Bye,Peso Pluma,THE ORCHARD,ORCH,28,50,28,7,Latin,05/18/2023,50311,-12.7,57658,161,6677926,1240386,50150,2023.07.13
73,Boy's A Liar,Pinkpantheress,NEW ELEKTRA,NELK,1,65,51,24,Pop,11/24/2022,50309,-3.9,52342,268,7140130,576972,50041,2023.07.13
74,One Thing At A Time,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,9,63,49,32,Country,12/02/2022,50222,-6.6,53753,750,6382189,237390,49472,2023.07.13
75,Dance The Night,Dua Lipa,ATLANTIC GROUP,ATLG,51,84,82,7,Pop,05/25/2023,50174,5.8,47432,3775,6001578,279599,46399,2023.07.13
76,Whiskey Glasses,Morgan Wallen,"BIG LOUD RECORDS, LLC",BGL ,16,58,63,231,Country,07/29/2016,50139,-8.1,54536,953,6455680,480863,49186,2023.07.13
77,Daylight,David Kushner,DAVID KUSHNER,DVK,28,75,52,13,Pop,03/29/2023,50011,0.2,49917,1111,6468673,627390,48900,2023.07.13
78,Area Codes,Kali,ATLANTIC GROUP,ATLG,17,56,38,10,R&B/Hip-Hop,03/17/2023,49545,-10.5,55362,578,6531463,803861,48967,2023.07.13
79,Chasin' You,Morgan Wallen,"BIG LOUD RECORDS, LLC",BGL ,24,70,66,171,Country,04/12/2018,49373,-3.2,51019,805,6385523,374322,48568,2023.07.13
80,I Ain't Worried,Onerepublic,INTERSCOPE/GEFFEN/A&M,INT ,9,69,69,58,Pop,05/12/2022,49153,-3.8,51096,1142,6373252,256719,48011,2023.07.13
81,Golden Hour,Jvke,AWAL,AWAL,10,81,58,47,Pop,08/05/2021,48729,-0.1,48765,687,6617100,394613,48042,2023.07.13
82,Bury Me In Georgia,Kane Brown,RCA NASHVILLE,RCNA,74,85,74,7,Country,07/22/2022,48529,2.6,47295,2201,5903368,179754,46328,2023.07.13
83,Wait For U,Future Feat. Drake & Tems,EPIC,EPIC,1,88,77,63,R&B/Hip-Hop,04/27/2022,48114,4.0,46279,130,6363776,528853,47984,2023.07.13
84,Rubicon,Peso Pluma,THE ORCHARD,ORCH,50,68,50,3,Latin,06/22/2023,48103,-6.3,51329,399,5649065,2063739,47704,2023.07.13
85,Just Wanna Rock,Lil Uzi Vert,ATLANTIC GROUP,ATLG,6,26,101,39,R&B/Hip-Hop,10/07/2022,47951,-34.4,73129,338,6373389,709507,47613,2023.07.13
86,BZRP Music Session #55,Peso Pluma & BZRP,THE ORCHARD,ORCH,16,64,48,6,Latin,03/22/2023,47836,-10.7,53563,171,6427356,714350,47665,2023.07.13
87,Next Thing You Know,Jordan Davis,MCA NASHVILLE,MCAN,47,74,56,26,Country,08/12/2022,47726,-4.7,50068,1731,6047037,329762,45995,2023.07.13
88,Lagunas,Peso Pluma,THE ORCHARD,ORCH,88,109,93,3,Latin,06/22/2023,47006,11.9,42025,103,6042038,1046199,46903,2023.07.13
89,El Azul,Junior H & Peso Pluma, WEA LATINA,WEAL,33,77,70,16,Latin,02/10/2023,46816,-5.6,49612,93,6610163,580218,46723,2023.07.13
90,Dancin' In The Country,Tyler Hubbard,MCA NASHVILLE,MCAN,37,83,92,15,Country,08/19/2022,46779,-2.9,48184,1213,5951613,198565,45566,2023.07.13
91,Por Las Noches,Peso Pluma,SONY MUSIC LATIN,SML,16,80,73,19,Latin,06/12/2021,46458,-5.3,49035,121,6424987,952201,46337,2023.07.13
92,Lala,Myke Towers, WEA LATINA,WEAL,92,,,1,Latin,03/23/2023,46423,,,334,5458547,1999298,46089,2023.07.13
93,Jimmy Cooks,Drake Feat. 21 Savage,OVO / REPUBLIC RECORDS,R-RR,1,105,97,56,R&B/Hip-Hop,06/16/2022,45653,7.3,42562,144,6101018,211593,45509,2023.07.13
94,See You Again,"Tyler, The Creator", ODD FUTURE RECORDINGS,ODD ,24,86,65,26,R&B/Hip-Hop,07/06/2017,45618,-2.6,46831,107,6603434,524002,45511,2023.07.13
95,Chemical,Post Malone,MERCURY / REPUBLIC RECORDS,R-MR,11,91,85,13,Pop,04/13/2023,45379,-0.9,45785,1552,5656176,348816,43827,2023.07.13
96,Dreams,Fleetwood Mac,WARNER RECORDS,WAR ,3,71,76,150,Rock,07/07/1977,45129,-11.1,50774,654,5666216,369332,44475,2023.07.13
97,Tennessee Orange,Megan Moroney,ARISTA NASHVILLE,ARNV,33,87,64,42,Country,09/02/2022,44829,-3.5,46473,998,5763431,323005,43831,2023.07.13
98,No Role Modelz,J. Cole,Columbia Records,COL ,33,92,80,218,R&B/Hip-Hop,08/04/2015,44475,-1.7,45248,73,6135128,419214,44402,2023.07.13
99,Blank Space,Taylor Swift,BIG MACHINE,BGMA,82,97,102,18,Pop,08/23/2010,44357,0.4,44192,425,5826831,529502,43932,2023.07.13
100,Mojabi Ghost,"Tainy, Bad Bunny",,,40,40,,2,Latin,06/29/2023,44273,-30.7,63912,269,5819132,41538,44004,2023.07.13
101,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",REPUBLIC RECORDS,R-RR,4,99,81,32,R&B/Hip-Hop,12/02/2022,44073,0.6,43823,312,5888840,346978,43761,2023.07.13
102,Love You Anyway,Luke Combs,COLUMBIA NASHVILLE,CLNV,5,98,90,22,Country,01/23/2023,43881,-0.6,44132,1475,5338474,325211,42406,2023.07.13
103,Heat Waves,Glass Animals,REPUBLIC RECORDS,R-RR,3,82,62,132,Rock,06/29/2020,43833,-9.5,48451,437,5656115,508778,43396,2023.07.13
104,Cowgirls,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,22,90,87,19,Country,03/01/2023,43664,-4.8,45852,824,5506094,392105,42840,2023.07.13
105,Freestyle,Lil Baby,QUALITY CONTROL MUSIC (CAROLINE),QLC ,32,101,96,58,R&B/Hip-Hop,12/01/2017,43653,0.6,43392,30,5677572,514084,43623,2023.07.13
106,Rich Flex,Drake & 21 Savage,OVO / REPUBLIC RECORDS,R-RR,1,114,103,36,R&B/Hip-Hop,11/03/2022,43568,5.3,41380,165,5890797,221800,43403,2023.07.13
107,She Had Me At Heads Carolina,Cole Swindell,Warner Music Nashville,WNS,15,76,95,60,Country,04/08/2022,43255,-13.3,49906,913,5480000,241386,42342,2023.07.13
108,Son Of A Sinner,Jelly Roll,BROKEN BOW RECO,BB2 ,31,96,84,55,Rock,09/15/2021,41945,-5.3,44285,2261,5034673,612020,39684,2023.07.13
109,Thank God,Kane Brown w/ Katelyn Brown,RCA NASHVILLE,RCNA,8,102,88,44,Country,09/09/2022,41773,-3.4,43226,1302,5074920,503189,40471,2023.07.13
110,Beautiful Crazy,Luke Combs,CLNV,CLNV,26,106,107,261,Country,05/24/2018,41360,-2.0,42187,544,5293214,467775,40816,2023.07.13
111,I'm Good (Blue),David Guetta & Bebe Rexha,WARNER RECORDS,WAR ,11,100,99,46,Dance/Electronic,08/23/2022,41317,-5.0,43476,1187,5146414,424195,40130,2023.07.13
112,Thang For You (Feat. No Cap),Rylo Rodriguez,,,112,128,,2,R&B/Hip-Hop,06/23/2023,41128,4.1,39503,89,5073446,1047629,41039,2023.07.13
113,Popular,"Madonna, Playboi Carti, The Weeknd",XO / REPUBLIC RECORDS,R-RR,26,124,129,6,R&B/Hip-Hop,05/29/2023,40683,2.0,39904,554,5265309,164339,40129,2023.07.13
114,Spin Bout U,Drake & 21 Savage,OVO / REPUBLIC RECORDS,R-RR,5,138,134,36,R&B/Hip-Hop,11/04/2022,40628,5.9,38379,127,5278073,522968,40501,2023.07.13
115,PRC,Peso Pluma X Natanael Cano,,,18,66,68,10,Latin,12/13/2022,40572,-22.4,52271,121,5724533,25859,40451,2023.07.13
116,Heartless,Diplo & Julia Michaels Feat. Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,20,117,117,192,Country,08/15/2019,40243,-1.9,41009,354,5300018,269564,39889,2023.07.13
117,Fragil,Yahritza Y Su Esencia & Grupo Frontera,SONY/COLUMBIA,COL,65,116,114,14,Latin,04/07/2023,40065,-2.5,41113,335,5085901,1328189,39730,2023.07.13
118,Style,Taylor Swift,BIG MACHINE,BGMA,115,132,138,16,Pop,10/11/2010,39846,1.4,39297,431,5331942,254383,39415,2023.07.13
119,Money Trees,Kendrick Lamar Feat. Jay Rock,INTERSCOPE/GEFFEN/A&M,INT ,80,118,111,56,R&B/Hip-Hop,09/27/2012,39602,-3.4,40984,163,5263606,461894,39439,2023.07.13
120,Party In The U.S.A.,Miley Cyrus,HOLLYWOOD RECORDS,HOL ,42,42,162,48,Pop,02/10/2009,39250,-37.3,62615,3177,4699136,378503,36073,2023.07.13
121,Princess Diana,Ice Spice,TENTHOUSAND PROJECTS/CAPITOL,10K,2,111,91,13,R&B/Hip-Hop,01/20/2023,39057,-6.7,41865,420,4888151,913541,38637,2023.07.13
122,Truck Bed,Hardy,Big Loud Records,"BLR
",112,119,132,7,Country,10/10/2022,38908,-5.0,40970,1561,4871727,181689,37347,2023.07.13
123,Levitating,Dua Lipa Feat. Dababy,WARNER RECORDS,WAR ,3,115,118,145,Pop,03/25/2020,38748,-6.1,41255,741,4923271,368219,38007,2023.07.13
124,Shake It Off,Taylor Swift,BIG MACHINE,BGMA,100,120,116,19,Pop,05/23/2011,38733,-5.0,40755,623,4865452,364267,38110,2023.07.13
125,What It Is (Block Boy),Doechii & Kodak Black,,,125,180,185,4,R&B/Hip-Hop,03/17/2023,38683,13.1,34193,793,5052269,497972,37890,2023.07.13
126,Fall In Love,Bailey Zimmerman,Warner Music Nashville,WNS,22,112,112,69,Country,02/11/2022,38642,-7.0,41568,379,4969818,398793,38263,2023.07.13
127,Ain't That Some,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,7,108,105,19,Country,01/28/2023,38577,-8.3,42051,426,4974464,238703,38151,2023.07.13
128,Until I Found You,Stephen Sanchez,MERCURY / REPUBLIC RECORDS,R-MR,24,133,109,61,Rock,09/01/2021,38392,-1.7,39042,766,5234407,393047,37626,2023.07.13
129,Dial Drunk,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,21,129,78,5,Rock,10/14/2022,38344,-2.9,39485,505,4841969,20189,37839,2023.07.13
130,Don't Stop Believin',Journey,Columbia Records,COL ,81,93,126,193,Rock,07/17/1981,38319,-15.0,45065,652,4960755,76316,37667,2023.07.13
131,Watermelon Moonshine,Lainey Wilson,BROKEN BOW RECO,BB2 ,131,160,170,3,Country,08/12/2022,38155,5.2,36282,2909,4516120,244954,35246,2023.07.13
132,Bad Habit,Steve Lacy, RCA,RCA,1,137,115,54,R&B/Hip-Hop,06/29/2022,38065,-1.4,38625,146,5261239,348189,37919,2023.07.13
133,Under The Influence,Chris Brown,RCA,RCA,5,151,122,50,R&B/Hip-Hop,06/28/2019,37770,1.7,37146,473,4595178,996663,37297,2023.07.13
134,When It Rains It Pours,Luke Combs,SME/LEGACY RECORDINGS,LEGC,65,104,144,133,Country,08/10/2016,37600,-12.1,42760,462,4791489,465421,37138,2023.07.13
135,Everybody Wants To Rule The World,Tears For Fears,ISLAND,ISL ,82,135,125,55,Rock,03/11/1985,37407,-3.7,38850,810,4680850,703578,36597,2023.07.13
136,Buy Dirt,Jordan Davis Feat. Luke Bryan,MCA NASHVILLE,MCAN,24,113,121,89,Country,05/15/2021,37401,-10.0,41557,528,4961572,136532,36873,2023.07.13
137,wait in the truck,Hardy Feat. Lainey Wilson,Big Loud Records,BLR,21,130,136,46,Country,08/25/2022,37099,-6.0,39483,1039,4407640,638859,36060,2023.07.13
138,Moonlight,Kali Uchis,INTERSCOPE/GEFFEN/A&M,INT ,84,169,150,20,R&B/Hip-Hop,08/23/1996,37040,4.8,35332,175,5317440,418614,36865,2023.07.13
139,Bebe Dame,Fuerza Regida & Grupo Frontera,SONY MUSIC LATIN,SML,9,131,123,29,Latin,12/15/2022,37010,-6.2,39447,304,4704650,999776,36706,2023.07.13
140,You Should Probably Leave,Chris Stapleton,MERCURY NASHVILLE,MERN,46,140,143,105,Country,10/13/2020,36944,-3.2,38160,517,4713700,202329,36427,2023.07.13
141,Heart Like A Truck,Lainey Wilson,BROKEN BOW RECO,BB2 ,29,139,135,36,Country,05/16/2022,36894,-3.7,38296,1229,4528949,443789,35665,2023.07.13
142,Unholy,Sam Smith & Kim Petras,CAPITOL RECORDS,CAP,1,149,124,42,Pop,09/22/2022,36458,-2.5,37401,439,4663874,428214,36019,2023.07.13
143,Slut Me Out,Nle Choppa,Warner Records,WAR,14,142,108,22,R&B/Hip-Hop,04/01/2022,36321,-4.7,38126,198,4954090,729765,36123,2023.07.13
144,Blinding Lights,Weeknd,REPUBLIC RECORDS,R-RR,1,143,120,189,R&B/Hip-Hop,11/27/2019,36294,-4.3,37933,567,4604082,387669,35727,2023.07.13
145,Cuff It,Beyonce,COLUMBIA,COL,4,150,142,50,R&B/Hip-Hop,07/28/2022,36286,-2.9,37372,443,4583250,330999,35843,2023.07.13
146,Save Your Tears,Weeknd,REPUBLIC RECORDS,R-RR,2,158,137,136,Pop,03/20/2020,36231,-0.9,36562,507,4585110,629650,35724,2023.07.13
147,Shivers,Ed Sheeran,ATLANTIC GROUP,ATLG,5,161,147,93,Pop,01/12/2021,35827,-1.1,36219,859,4471293,276722,34968,2023.07.13
148,Save Me (With Lainey Wilson),Jelly Roll,,,102,146,127,6,Country,05/12/2023,35772,-5.1,37696,3293,4105950,166336,32479,2023.07.13
149,Hurts Me,Tory Lanez & Trippie Redd,CMG,One ,149,,,1,Pop,06/13/2023,35747,,,278,4580922,44558,35469,2023.07.13
150,7 Summers,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,3,147,159,57,Country,08/13/2020,35616,-4.9,37444,429,4594377,193641,35187,2023.07.13
151,Everything I Love,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,11,141,173,24,Country,01/30/2023,35593,-6.7,38142,539,4506925,93236,35054,2023.07.13
152,Titi Me Pregunto,Bad Bunny,Rimas Entertainment,RIMA,4,136,139,62,Latin,05/05/2022,35264,-8.9,38700,253,4498863,518597,35011,2023.07.13
153,Pound Town,Sexyy Red,Vydia,VYD,64,148,152,7,R&B/Hip-Hop,01/27/2023,35194,-6.0,37434,335,4435776,802574,34859,2023.07.13
154,Aye,Lil Uzi Vert,ATLANTIC GROUP,ATLG,14,14,,2,R&B/Hip-Hop,06/29/2023,35162,-61.5,91376,112,4668757,133542,35050,2023.07.13
155,Me Porto Bonito,Bad Bunny & Chencho Corleone,THE ORCHARD,ORCH,2,152,145,62,Latin,05/05/2022,35088,-5.5,37120,120,4622921,445742,34968,2023.07.13
156,Broadway Girls,Lil Durk Feat. Morgan Wallen,Alamo Records,ALAM,7,165,163,59,R&B/Hip-Hop,12/17/2021,35072,-2.0,35777,371,4509120,475062,34701,2023.07.13
157,Lavender Haze,Taylor Swift,REPUBLIC RECORDS,R-RR,2,145,113,38,Pop,10/19/2022,35058,-7.5,37904,629,4575339,166838,34429,2023.07.13
158,Back To The Moon,Gunna,300 ENTERTAINME,300E,9,121,54,4,R&B/Hip-Hop,06/16/2023,34919,-14.1,40645,65,4454349,542175,34854,2023.07.13
159,Shake Sumn,DaBaby,,,78,,,8,R&B/Hip-Hop,04/29/2023,34900,,,400,4291325,1132970,34500,2023.07.13
160,Circles,Post Malone,REPUBLIC RECORDS,R-RR,1,173,166,196,Pop,08/30/2019,34898,-0.7,35153,473,4411925,362257,34425,2023.07.13
161,More Than My Hometown,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,20,144,159,141,Country,04/16/2020,34895,-8.0,37927,516,4497884,229128,34379,2023.07.13
162,Attention,Doja Cat, RCA,RCA,15,110,59,4,R&B/Hip-Hop,06/15/2023,34650,-17.4,41945,491,4398537,377833,34159,2023.07.13
163,Project Walls,Lil Tjay,SONY/COLUMBIA,COL,163,,,1,R&B/Hip-Hop,06/26/2023,34624,,,1134,4478467,501731,33490,2023.07.13
164,Someone You Loved,Lewis Capaldi,CAPITOL MUSIC GROUP,CAP,5,187,147,182,Pop,11/08/2018,34562,2.3,33772,1122,4226762,683327,33440,2023.07.13
165,PINK + WHITE,Frank Ocean, INDEPENDENT LABEL SUBMISSION,INDI,47,186,164,32,R&B/Hip-Hop,08/20/2016,34555,2.0,33874,105,4687522,209899,34450,2023.07.13
166,Dawns,"Zach Bryan, Maggie Rogers", WARNER Records,WAR,18,174,128,23,Rock,01/27/2023,34533,-0.9,34860,326,4399241,106216,34207,2023.07.13
167,Lover,Taylor Swift Feat. Shawn Mendes,REPUBLIC RECORDS,R-RR,3,166,146,46,Pop,08/15/2019,34497,-3.3,35660,576,4592032,186795,33921,2023.07.13
168,Annihilate,"Metro Boomin, Swae Lee, Lil Wayne & Offset",REPUBLIC RECORDS,R-RR,25,134,72,6,R&B/Hip-Hop,06/02/2023,34472,-11.4,38929,287,4453080,599585,34185,2023.07.13
169,Merch Madness,Lil Baby,"QUALITY CONTROL MUSIC, LLC",QCM,169,,,1,R&B/Hip-Hop,07/07/2023,34442,,,120,4079794,907003,34322,2023.07.13
170,Calling (Spider-Man: Across The Spider-Verse),"Metro Boomin, Swae Lee & Nav Feat. A Boogie Wit Da Hoodie",REPUBLIC RECORDS,R-RR,23,123,67,6,R&B/Hip-Hop,06/01/2023,34297,-14.5,40108,211,4566131,322680,34086,2023.07.13
171,Sweater Weather,Neighbourhood,Columbia Records,COL ,27,183,165,144,Rock,04/30/2012,34017,0.1,33987,137,4711014,428757,33880,2023.07.13
